id,name,category,action,archetype,domain,intent,workflow_1,workflow_2,workflow_3,workflow_4,input_hint
"interval-trainer","Interval Trainer","audio & sound","trainer","coach","Interval","Trainer gives targeted Interval guidance with next actions.","Assess interval baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"mastering-guide","Mastering Guide","audio & sound","guide","coach","Mastering","Guide gives targeted Mastering guidance with next actions.","Assess mastering baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"metronome-plus","Metronome Plus","audio & sound","plus","coach","Metronome","Plus gives targeted Metronome guidance with next actions.","Assess metronome baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"mixing-assistant","Mixing Assistant","audio & sound","assistant","coach","Mixing","Assistant gives targeted Mixing guidance with next actions.","Assess mixing baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"music-theory-teacher","Music Theory Teacher","audio & sound","teacher","coach","Music Theory","Teacher gives targeted Music Theory guidance with next actions.","Assess music theory baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"noise-generator","Noise Generator","audio & sound","generator","generate","Noise","Generator creates concrete Noise outputs you can use immediately.","Interpret noise direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"pitch-shifter","Pitch Shifter","audio & sound","shifter","coach","Pitch","Shifter gives targeted Pitch guidance with next actions.","Assess pitch baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"podcast-creator","Podcast Creator","audio & sound","creator","generate","Podcast","Creator creates concrete Podcast outputs you can use immediately.","Interpret podcast direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"reverb-calculator","Reverb Calculator","audio & sound","calculator","quantify","Reverb","Calculator turns Reverb input into clear metrics and decision-ready numbers.","Collect reverb inputs","Normalize values and units","Compute core metrics","Recommend next move","Enter numbers, assumptions, and targets (one per line or sentence)."
"rhythm-generator","Rhythm Generator","audio & sound","generator","generate","Rhythm","Generator creates concrete Rhythm outputs you can use immediately.","Interpret rhythm direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"sample-slicer","Sample Slicer","audio & sound","slicer","coach","Sample","Slicer gives targeted Sample guidance with next actions.","Assess sample baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"scale-explorer","Scale Explorer","audio & sound","explorer","coach","Scale","Explorer gives targeted Scale guidance with next actions.","Assess scale baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"sound-identifier","Sound Identifier","audio & sound","identifier","explore","Sound","Identifier explores Sound options and prioritizes the strongest paths.","Frame sound search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"sound-visualizer","Sound Visualizer","audio & sound","visualizer","coach","Sound","Visualizer gives targeted Sound guidance with next actions.","Assess sound baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"soundscape-designer","Soundscape Designer","audio & sound","designer","generate","Soundscape","Designer creates concrete Soundscape outputs you can use immediately.","Interpret soundscape direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"time-stretcher","Time Stretcher","audio & sound","stretcher","coach","Time","Stretcher gives targeted Time guidance with next actions.","Assess time baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"vocal-processor","Vocal Processor","audio & sound","processor","coach","Vocal","Processor gives targeted Vocal guidance with next actions.","Assess vocal baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"voice-trainer","Voice Trainer","audio & sound","trainer","coach","Voice","Trainer gives targeted Voice guidance with next actions.","Assess voice baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"brand-builder","Brand Builder","business & entrepreneurship","builder","plan","Brand","Builder structures Brand input into a practical step-by-step plan.","Define brand objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"business-plan-builder","Business Plan Builder","business & entrepreneurship","builder","plan","Business Plan","Builder structures Business Plan input into a practical step-by-step plan.","Define business plan objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"cash-flow-forecaster","Cash Flow Forecaster","business & entrepreneurship","forecaster","coach","Cash Flow","Forecaster gives targeted Cash Flow guidance with next actions.","Assess cash flow baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"competitor-tracker","Competitor Tracker","business & entrepreneurship","tracker","inspect","Competitor","Tracker reviews Competitor input, highlights signals, and flags risks.","Parse competitor context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"compliance-checker","Compliance Checker","business & entrepreneurship","checker","inspect","Compliance","Checker reviews Compliance input, highlights signals, and flags risks.","Parse compliance context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"contract-generator","Contract Generator","business & entrepreneurship","generator","generate","Contract","Generator creates concrete Contract outputs you can use immediately.","Interpret contract direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"crisis-manager","Crisis Manager","business & entrepreneurship","manager","plan","Crisis","Manager structures Crisis input into a practical step-by-step plan.","Define crisis objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"customer-lifetime-value","Customer Lifetime Value","business & entrepreneurship","value","coach","Customer Lifetime","Value gives targeted Customer Lifetime guidance with next actions.","Assess customer lifetime baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"digital-transformation","Digital Transformation","business & entrepreneurship","transformation","coach","Digital","Transformation gives targeted Digital guidance with next actions.","Assess digital baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"exit-strategy-planner","Exit Strategy Planner","business & entrepreneurship","planner","plan","Exit Strategy","Planner structures Exit Strategy input into a practical step-by-step plan.","Define exit strategy objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"expansion-planner","Expansion Planner","business & entrepreneurship","planner","plan","Expansion","Planner structures Expansion input into a practical step-by-step plan.","Define expansion objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"franchise-evaluator","Franchise Evaluator","business & entrepreneurship","evaluator","coach","Franchise","Evaluator gives targeted Franchise guidance with next actions.","Assess franchise baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"innovation-tracker","Innovation Tracker","business & entrepreneurship","tracker","inspect","Innovation","Tracker reviews Innovation input, highlights signals, and flags risks.","Parse innovation context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"inventory-optimizer","Inventory Optimizer","business & entrepreneurship","optimizer","optimize","Inventory","Optimizer optimizes Inventory workflows for better performance.","Audit inventory flow","Find bottlenecks","Apply targeted improvements","Measure gains and iterate","Describe current process, bottlenecks, and goals."
"market-research-assistant","Market Research Assistant","business & entrepreneurship","assistant","coach","Market Research","Assistant gives targeted Market Research guidance with next actions.","Assess market research baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"meeting-scheduler","Meeting Scheduler","business & entrepreneurship","scheduler","plan","Meeting","Scheduler structures Meeting input into a practical step-by-step plan.","Define meeting objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"merger-analyzer","Merger Analyzer","business & entrepreneurship","analyzer","inspect","Merger","Analyzer reviews Merger input, highlights signals, and flags risks.","Parse merger context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"partnership-finder","Partnership Finder","business & entrepreneurship","finder","explore","Partnership","Finder explores Partnership options and prioritizes the strongest paths.","Frame partnership search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"performance-dashboard","Performance Dashboard","business & entrepreneurship","dashboard","coach","Performance","Dashboard gives targeted Performance guidance with next actions.","Assess performance baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"pricing-strategy-advisor","Pricing Strategy Advisor","business & entrepreneurship","advisor","coach","Pricing Strategy","Advisor gives targeted Pricing Strategy guidance with next actions.","Assess pricing strategy baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"risk-assessor","Risk Assessor","business & entrepreneurship","assessor","coach","Risk","Assessor gives targeted Risk guidance with next actions.","Assess risk baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"roi-calculator","Roi Calculator","business & entrepreneurship","calculator","quantify","Roi","Calculator turns Roi input into clear metrics and decision-ready numbers.","Collect roi inputs","Normalize values and units","Compute core metrics","Recommend next move","Enter numbers, assumptions, and targets (one per line or sentence)."
"sales-funnel-analyzer","Sales Funnel Analyzer","business & entrepreneurship","analyzer","inspect","Sales Funnel","Analyzer reviews Sales Funnel input, highlights signals, and flags risks.","Parse sales funnel context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"startup-advisor","Startup Advisor","business & entrepreneurship","advisor","coach","Startup","Advisor gives targeted Startup guidance with next actions.","Assess startup baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"supplier-evaluator","Supplier Evaluator","business & entrepreneurship","evaluator","coach","Supplier","Evaluator gives targeted Supplier guidance with next actions.","Assess supplier baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"sustainability-advisor","Sustainability Advisor","business & entrepreneurship","advisor","coach","Sustainability","Advisor gives targeted Sustainability guidance with next actions.","Assess sustainability baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"team-builder","Team Builder","business & entrepreneurship","builder","plan","Team","Builder structures Team input into a practical step-by-step plan.","Define team objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"anxiety-alchemist","Anxiety Alchemist","emotions & wellness","alchemist","coach","Anxiety","Alchemist gives targeted Anxiety guidance with next actions.","Assess anxiety baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"balance-barometer","Balance Barometer","emotions & wellness","barometer","coach","Balance","Barometer gives targeted Balance guidance with next actions.","Assess balance baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"boundary-builder","Boundary Builder","emotions & wellness","builder","plan","Boundary","Builder structures Boundary input into a practical step-by-step plan.","Define boundary objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"calm-calculator","Calm Calculator","emotions & wellness","calculator","quantify","Calm","Calculator turns Calm input into clear metrics and decision-ready numbers.","Collect calm inputs","Normalize values and units","Compute core metrics","Recommend next move","Enter numbers, assumptions, and targets (one per line or sentence)."
"comfort-compass","Comfort Compass","emotions & wellness","navigator","explore","Comfort","Navigator explores Comfort options and prioritizes the strongest paths.","Frame comfort search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"emotion-tracker","Emotion Tracker","emotions & wellness","tracker","inspect","Emotion","Tracker reviews Emotion input, highlights signals, and flags risks.","Parse emotion context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"emotional-weather","Emotional Weather","emotions & wellness","weather","coach","Emotional","Weather gives targeted Emotional guidance with next actions.","Assess emotional baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"energy-accountant","Energy Accountant","emotions & wellness","accountant","coach","Energy","Accountant gives targeted Energy guidance with next actions.","Assess energy baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"feeling-finder","Feeling Finder","emotions & wellness","finder","explore","Feeling","Finder explores Feeling options and prioritizes the strongest paths.","Frame feeling search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"gratitude-generator","Gratitude Generator","emotions & wellness","generator","generate","Gratitude","Generator creates concrete Gratitude outputs you can use immediately.","Interpret gratitude direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"growth-gauge","Growth Gauge","emotions & wellness","gauge","coach","Growth","Gauge gives targeted Growth guidance with next actions.","Assess growth baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"habit-harmonics","Habit Harmonics","emotions & wellness","harmonics","coach","Habit","Harmonics gives targeted Habit guidance with next actions.","Assess habit baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"joy-journal","Joy Journal","emotions & wellness","journal","coach","Joy","Journal gives targeted Joy guidance with next actions.","Assess joy baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"meditation-guide","Meditation Guide","emotions & wellness","guide","coach","Meditation","Guide gives targeted Meditation guidance with next actions.","Assess meditation baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"mindfulness-bell","Mindfulness Bell","emotions & wellness","bell","coach","Mindfulness","Bell gives targeted Mindfulness guidance with next actions.","Assess mindfulness baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"mindfulness-metronome","Mindfulness Metronome","emotions & wellness","metronome","coach","Mindfulness","Metronome gives targeted Mindfulness guidance with next actions.","Assess mindfulness baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"mood-mapper","Mood Mapper","emotions & wellness","mapper","explore","Mood","Mapper explores Mood options and prioritizes the strongest paths.","Frame mood search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"recovery-roadmap","Recovery Roadmap","emotions & wellness","roadmap","coach","Recovery","Roadmap gives targeted Recovery guidance with next actions.","Assess recovery baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"release-ritual","Release Ritual","emotions & wellness","ritual","coach","Release","Ritual gives targeted Release guidance with next actions.","Assess release baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"renewal-recipe","Renewal Recipe","emotions & wellness","recipe","coach","Renewal","Recipe gives targeted Renewal guidance with next actions.","Assess renewal baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"resilience-radar","Resilience Radar","emotions & wellness","monitor","inspect","Resilience","Monitor reviews Resilience input, highlights signals, and flags risks.","Parse resilience context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"self-compassion-coach","Self Compassion Coach","emotions & wellness","coach","coach","Self Compassion","Coach gives targeted Self Compassion guidance with next actions.","Assess self compassion baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"strength-spotter","Strength Spotter","emotions & wellness","spotter","coach","Strength","Spotter gives targeted Strength guidance with next actions.","Assess strength baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"stress-monitor","Stress Monitor","emotions & wellness","monitor","inspect","Stress","Monitor reviews Stress input, highlights signals, and flags risks.","Parse stress context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"stress-sculptor","Stress Sculptor","emotions & wellness","designer","generate","Stress","Designer creates concrete Stress outputs you can use immediately.","Interpret stress direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"trigger-tracker","Trigger Tracker","emotions & wellness","tracker","inspect","Trigger","Tracker reviews Trigger input, highlights signals, and flags risks.","Parse trigger context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"validation-vault","Validation Vault","emotions & wellness","vault","coach","Validation","Vault gives targeted Validation guidance with next actions.","Assess validation baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"vulnerability-validator","Vulnerability Validator","emotions & wellness","validator","inspect","Vulnerability","Validator reviews Vulnerability input, highlights signals, and flags risks.","Parse vulnerability context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"wellness-coach","Wellness Coach","emotions & wellness","coach","coach","Wellness","Coach gives targeted Wellness guidance with next actions.","Assess wellness baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"wellness-wheel","Wellness Wheel","emotions & wellness","wheel","coach","Wellness","Wheel gives targeted Wellness guidance with next actions.","Assess wellness baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"animation-creator","Animation Creator","entertainment & media","creator","generate","Animation","Creator creates concrete Animation outputs you can use immediately.","Interpret animation direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"book-finder","Book Finder","entertainment & media","finder","explore","Book","Finder explores Book options and prioritizes the strongest paths.","Frame book search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"celebrity-tracker","Celebrity Tracker","entertainment & media","tracker","inspect","Celebrity","Tracker reviews Celebrity input, highlights signals, and flags risks.","Parse celebrity context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"concert-finder","Concert Finder","entertainment & media","finder","explore","Concert","Finder explores Concert options and prioritizes the strongest paths.","Frame concert search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"content-curator","Content Curator","entertainment & media","curator","coach","Content","Curator gives targeted Content guidance with next actions.","Assess content baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"event-planner-entertainment","Event Planner Entertainment","entertainment & media","planner","plan","Event Entertainment","Planner structures Event Entertainment input into a practical step-by-step plan.","Define event entertainment objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"game-selector","Game Selector","entertainment & media","finder","explore","Game","Finder explores Game options and prioritizes the strongest paths.","Frame game search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"karaoke-companion","Karaoke Companion","entertainment & media","companion","coach","Karaoke","Companion gives targeted Karaoke guidance with next actions.","Assess karaoke baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"meme-generator","Meme Generator","entertainment & media","generator","generate","Meme","Generator creates concrete Meme outputs you can use immediately.","Interpret meme direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"movie-recommender","Movie Recommender","entertainment & media","recommender","coach","Movie","Recommender gives targeted Movie guidance with next actions.","Assess movie baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"music-playlist-generator","Music Playlist Generator","entertainment & media","generator","generate","Music Playlist","Generator creates concrete Music Playlist outputs you can use immediately.","Interpret music playlist direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"photo-enhancer","Photo Enhancer","entertainment & media","optimizer","optimize","Photo","Optimizer optimizes Photo workflows for better performance.","Audit photo flow","Find bottlenecks","Apply targeted improvements","Measure gains and iterate","Describe current process, bottlenecks, and goals."
"podcast-discoverer","Podcast Discoverer","entertainment & media","discoverer","coach","Podcast","Discoverer gives targeted Podcast guidance with next actions.","Assess podcast baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"social-media-scheduler","Social Media Scheduler","entertainment & media","scheduler","plan","Social Media","Scheduler structures Social Media input into a practical step-by-step plan.","Define social media objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"sports-analyzer","Sports Analyzer","entertainment & media","analyzer","inspect","Sports","Analyzer reviews Sports input, highlights signals, and flags risks.","Parse sports context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"streaming-optimizer","Streaming Optimizer","entertainment & media","optimizer","optimize","Streaming","Optimizer optimizes Streaming workflows for better performance.","Audit streaming flow","Find bottlenecks","Apply targeted improvements","Measure gains and iterate","Describe current process, bottlenecks, and goals."
"trivia-master","Trivia Master","entertainment & media","master","coach","Trivia","Master gives targeted Trivia guidance with next actions.","Assess trivia baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"tv-show-tracker","Tv Show Tracker","entertainment & media","tracker","inspect","Tv Show","Tracker reviews Tv Show input, highlights signals, and flags risks.","Parse tv show context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"video-editor","Video Editor","entertainment & media","editor","coach","Video","Editor gives targeted Video guidance with next actions.","Assess video baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"virtual-dj","Virtual Dj","entertainment & media","dj","coach","Virtual","Dj gives targeted Virtual guidance with next actions.","Assess virtual baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"bill-reminder","Bill Reminder","finance & money","reminder","coach","Bill","Reminder gives targeted Bill guidance with next actions.","Assess bill baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"budget-analyzer","Budget Analyzer","finance & money","analyzer","inspect","Budget","Analyzer reviews Budget input, highlights signals, and flags risks.","Parse budget context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"budget-builder","Budget Builder","finance & money","builder","plan","Budget","Builder structures Budget input into a practical step-by-step plan.","Define budget objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"cashflow-visualizer","Cashflow Visualizer","finance & money","visualizer","coach","Cashflow","Visualizer gives targeted Cashflow guidance with next actions.","Assess cashflow baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"compound-interest","Compound Interest","finance & money","interest","coach","Compound","Interest gives targeted Compound guidance with next actions.","Assess compound baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"credit-score-guide","Credit Score Guide","finance & money","guide","coach","Credit Score","Guide gives targeted Credit Score guidance with next actions.","Assess credit score baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"crypto-tracker","Crypto Tracker","finance & money","tracker","inspect","Crypto","Tracker reviews Crypto input, highlights signals, and flags risks.","Parse crypto context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"currency-tracker","Currency Tracker","finance & money","tracker","inspect","Currency","Tracker reviews Currency input, highlights signals, and flags risks.","Parse currency context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"debt-destroyer","Debt Destroyer","finance & money","destroyer","coach","Debt","Destroyer gives targeted Debt guidance with next actions.","Assess debt baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"discount-finder","Discount Finder","finance & money","finder","explore","Discount","Finder explores Discount options and prioritizes the strongest paths.","Frame discount search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"emergency-fund","Emergency Fund","finance & money","fund","coach","Emergency","Fund gives targeted Emergency guidance with next actions.","Assess emergency baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"expense-tracker","Expense Tracker","finance & money","tracker","inspect","Expense","Tracker reviews Expense input, highlights signals, and flags risks.","Parse expense context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"financial-goals","Financial Goals","finance & money","goals","coach","Financial","Goals gives targeted Financial guidance with next actions.","Assess financial baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"financial-planner","Financial Planner","finance & money","planner","plan","Financial","Planner structures Financial input into a practical step-by-step plan.","Define financial objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"income-streams","Income Streams","finance & money","streams","coach","Income","Streams gives targeted Income guidance with next actions.","Assess income baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"investment-advisor","Investment Advisor","finance & money","advisor","coach","Investment","Advisor gives targeted Investment guidance with next actions.","Assess investment baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"investment-calculator","Investment Calculator","finance & money","calculator","quantify","Investment","Calculator turns Investment input into clear metrics and decision-ready numbers.","Collect investment inputs","Normalize values and units","Compute core metrics","Recommend next move","Enter numbers, assumptions, and targets (one per line or sentence)."
"loan-calculator","Loan Calculator","finance & money","calculator","quantify","Loan","Calculator turns Loan input into clear metrics and decision-ready numbers.","Collect loan inputs","Normalize values and units","Compute core metrics","Recommend next move","Enter numbers, assumptions, and targets (one per line or sentence)."
